trace_id,document_id,chunk_id,document_title,page_number,citation_type,is_visual_source,is_valid,validation_notes,created_at
2c619dec-8943-4e64-b7b5-0455347b13fa,560d3780-2791-4747-892d-a91d4466c932,376df31e-705d-447d-bf6a-567bb46ccf33,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,,text,f,t,,2026-07-14 06:17:52.764888+00
2c619dec-8943-4e64-b7b5-0455347b13fa,560d3780-2791-4747-892d-a91d4466c932,0d612de1-e13b-4b2b-b79a-1a25c5a1f06a,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,,text,f,t,,2026-07-14 06:17:52.764888+00
2e981f08-3af0-4687-8fa6-5204f90d328c,ff8697c1-0e5f-4679-9092-bfedd314a469,67191532-7ddf-4462-83dc-203202095990,Pedoman SPMB Mandiri Profesi 2026,,text,f,t,,2026-07-14 06:20:03.24576+00
2e981f08-3af0-4687-8fa6-5204f90d328c,560d3780-2791-4747-892d-a91d4466c932,649ae7af-53ef-45a1-bb44-c4e79d5efac5,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,,text,f,t,,2026-07-14 06:20:03.24576+00
2e981f08-3af0-4687-8fa6-5204f90d328c,a57ef227-f21f-4369-933f-15c03d41645c,39251195-b3e8-4e03-bfaf-ff881fd1fa93,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:20:03.24576+00
2e981f08-3af0-4687-8fa6-5204f90d328c,2d5f593e-99cf-4d59-9501-c4ee68262f11,e44b720d-8013-447c-a11e-b424c58a4c54,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,,text,f,t,,2026-07-14 06:20:03.24576+00
2e981f08-3af0-4687-8fa6-5204f90d328c,a57ef227-f21f-4369-933f-15c03d41645c,440e4146-987e-43f7-a60b-1a0ab3bf16da,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:20:03.24576+00
36ccc34e-9af2-476c-a9fa-72336d657bc1,2d5f593e-99cf-4d59-9501-c4ee68262f11,29f0e407-a9e5-4698-bba4-78267e6c2ecb,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,,text,f,t,,2026-07-14 06:17:43.52305+00
36ccc34e-9af2-476c-a9fa-72336d657bc1,2d5f593e-99cf-4d59-9501-c4ee68262f11,bbe1d599-94bf-4efb-aceb-7f880b7fab80,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,,text,f,t,,2026-07-14 06:17:43.52305+00
36ccc34e-9af2-476c-a9fa-72336d657bc1,2d5f593e-99cf-4d59-9501-c4ee68262f11,ec3a484f-cf55-413f-a6e0-b3c97657b914,PEDOMAN SPMB JALUR MANDIRI STR RPL 2026,,text,f,t,,2026-07-14 06:17:43.52305+00
36d2e1ab-329a-4fa7-8ce4-3e6207c62610,a57ef227-f21f-4369-933f-15c03d41645c,359337e0-7d08-4c83-af0c-e455743d8c5d,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:19:32.131919+00
36d2e1ab-329a-4fa7-8ce4-3e6207c62610,a57ef227-f21f-4369-933f-15c03d41645c,0f915597-0e2a-4462-9ab6-d2e55eb2340a,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:19:32.131919+00
36d71c7a-78a9-413b-84b4-eefb95a7059c,d53cdd48-fcba-4744-8460-81adc4e72d8c,3c541d2d-ecac-4238-960b-6eb053fd16c7,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,,text,f,t,,2026-07-14 06:20:26.434697+00
36d71c7a-78a9-413b-84b4-eefb95a7059c,560d3780-2791-4747-892d-a91d4466c932,a0aef029-22da-42c2-8081-07550659b984,PEDOMAN SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) PRESTASI T.A. 2026/2027,,text,f,t,,2026-07-14 06:20:26.434697+00
36d71c7a-78a9-413b-84b4-eefb95a7059c,3877bace-f753-4e62-a5df-1a2f00f89ebc,f38d640d-cea0-4741-af9a-f1c63ce06eba,HASIL SELEKSI TAHAP II (AKHIR) SPMB BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,,text,f,t,,2026-07-14 06:20:26.434697+00
38490450-d83f-4474-81c5-ab65aae3aa33,a57ef227-f21f-4369-933f-15c03d41645c,359337e0-7d08-4c83-af0c-e455743d8c5d,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:19:14.72054+00
39c60c21-74ac-40fc-b26c-b1762c0f0400,8d8bf084-6109-4390-ae5f-18102bdaedcb,7a9a6b34-4710-4329-9f11-203a9378d377,Tata Tertib Ujian CBT SPMB Mandiri Reguler SMA 2026,,text,f,t,,2026-07-14 06:17:31.426756+00
4392ffef-f83c-45d0-ad64-a547b674f020,6255b91a-c264-4822-8bf0-942834d397a2,3462dd2d-407e-42bb-8837-32c322be41ce,Hasil Seleksi Tahap III SPMB Profesi 2026,,text,f,t,,2026-07-14 06:19:46.149434+00
48c43b44-ccbf-4ddf-b892-f6858ea63559,a57ef227-f21f-4369-933f-15c03d41645c,440e4146-987e-43f7-a60b-1a0ab3bf16da,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:18:10.468238+00
4e2a0c75-b2f1-4655-9f5c-8ce80ac07f8a,c267f0a9-fb90-45f7-a9bf-dda652a389f7,d4f93e30-24fc-45ef-8329-1af292ad9200,PENGUMUMAN HASIL SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) MANDIRI REGULER SMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,,text,f,t,,2026-07-14 06:20:34.131695+00
4e480e17-4562-4d76-bf8f-ef70d993226f,acd7335a-936e-4875-9fa0-179bac1d0130,76414c29-2f7b-46a6-910c-298257488bab,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,,text,f,t,,2026-07-14 06:19:38.688856+00
4e480e17-4562-4d76-bf8f-ef70d993226f,913914f2-929b-4856-aae1-a230080421c3,0642676e-bcfd-49c8-bcf3-6047687d36bc,4265 Hasil Seleksi Tahap II Akhir Cadangan 4 SPMB Bersama,,text,f,t,,2026-07-14 06:19:38.688856+00
4e480e17-4562-4d76-bf8f-ef70d993226f,603f540c-e34c-418c-8595-b7ad45937431,8c770815-f3af-4fe7-8a8b-4b7f4299285d,Hasil Seleksi Tahap III SPMB Prestasi 2026,,text,f,t,,2026-07-14 06:19:38.688856+00
4ec94cc9-ada8-49af-a58d-60ab3bc3dce5,d53cdd48-fcba-4744-8460-81adc4e72d8c,3c541d2d-ecac-4238-960b-6eb053fd16c7,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,,text,f,t,,2026-07-14 06:18:19.479371+00
4ec94cc9-ada8-49af-a58d-60ab3bc3dce5,7c223294-5606-4b4b-bb32-4c561a34b059,fa2a5fa4-6d47-4fc9-9ab5-5d6d3c7b818c,PENGUMUMAN  PEMANGGILAN CAD 1 SPMB BERSAMA_18 Mei 2026,,text,f,t,,2026-07-14 06:18:19.479371+00
5571abe7-e272-4a9c-a061-030c74382556,a57ef227-f21f-4369-933f-15c03d41645c,359337e0-7d08-4c83-af0c-e455743d8c5d,Pedoman SPMB Mandiri Reguler SMA Poltekkes Kemenkes Yogyakarta TA 2026-2027,,text,f,t,,2026-07-14 06:18:01.009776+00
5571abe7-e272-4a9c-a061-030c74382556,dcdc6460-5d76-4ba4-8894-5150b991e3f1,ea692338-a595-4ef3-930b-ffa13f0ef5f8,HASIL SELEKSI TAHAP IV SPMB MANDIRI PRODI SARJANA TERAPAN (RPL) GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,,text,f,t,,2026-07-14 06:18:01.009776+00
5571abe7-e272-4a9c-a061-030c74382556,603f540c-e34c-418c-8595-b7ad45937431,8c770815-f3af-4fe7-8a8b-4b7f4299285d,Hasil Seleksi Tahap III SPMB Prestasi 2026,,text,f,t,,2026-07-14 06:18:01.009776+00
